state,amount,lat,lon,stateName
AR,3400,35.201,-91.8318,Arkansas
AZ,20534.1,34.0489,-111.0937,Arizona
CA,50118.19,36.7783,-119.4179,California
CT,1955,41.6032,-73.0877,Connecticut
DE,92.7,38.9108,-75.5277,Delaware
FL,109693.31,27.6648,-81.5158,Florida
GA,45852.4,32.1656,-82.9001,Georgia
IL,165621.04,40.6331,-89.3985,Illinois
KY,360,37.8393,-84.27,Kentucky
MA,3131.7,42.4072,-71.3824,Massachusetts
MD,7257.39,39.0458,-76.6413,Maryland
MI,4219.05,44.3148,-85.6024,Michigan
MO,350,37.9643,-91.8318,Missouri
NC,13463,35.7596,-79.0193,North Carolina
NJ,71433.4,40.0583,-74.4057,New Jersey
NM,528.36,34.5199,-105.8701,New Mexico
NY,66283.44,40.7128,-74.006,New York
OH,247.2,40.4173,-82.9071,Ohio
PA,112959.3,41.2033,-77.1945,Pennsylvania
TN,360,35.5175,-86.5804,Tennessee
TX,233072.34,31.9686,-99.9018,Texas
UT,210,39.321,-111.0937,Utah
VA,12172.02,37.4316,-78.6569,Virginia
WA,2155,47.7511,-120.7401,Washington
